ticker|alert_date|ruleset|score_tier_stored|score_lo|score_hi|admit|status|reason|entered|entry_px|stop|target|partial_fired|final_reason|realized_r|gap_through|day0_missing_minutes|sessions_abstained
BW|2026-05-11|era_c|HIGH|52.5|60.0|reject|settled||True|16.9999|15.980099999999997|18.019700000000004|True|stop_hit|1.7062169052755403|False|1|0
BZH|2026-05-11|era_c|HIGH|52.5|60.0|reject|no_entry|never_crossed_orb_high|False||25.11||False|||False|1|0
DRTS|2026-05-11|era_c|MODERATE|60.0|69.0|abstain_float_band_straddles_bar|settled||True|9.86|9.18|10.54|True|stop_hit|0.3333333333333333|False|2|0
MNDY|2026-05-11|era_c|HIGH|78.0|87.0|admit|settled||True|86.6558|78.7442|94.56739999999999|False|stop_hit|-1.0|False|0|0
MRAM|2026-05-11|era_c|HIGH|69.0|78.0|admit|settled||True|36.425|31.715000000000003|41.13499999999999|True|stop_hit|0.33333333333333337|False|0|0
WYFI|2026-05-11|era_c|MODERATE|52.5|60.0|reject|settled||True|23.7735|21.7265|25.820499999999996|True|stop_hit|0.3333333333333333|False|4|0
AMBQ|2026-05-12|era_c|HIGH|52.5|60.0|reject|settled||True|54.02|52.28|55.78000000000001|True|stop_hit|9.319540229885048|False|9|1
AVEX|2026-05-12|era_c|MODERATE|60.0|69.0|abstain_float_band_straddles_bar|settled||True|26.35|24.85|27.85|True|stop_hit|0.3333333333333333|False|17|0
HLIT|2026-05-12|era_c|HIGH|52.5|60.0|reject|settled||True|14.55|13.25|15.850000000000001|False|stop_hit|-1.0|False|0|0
PACS|2026-05-12|era_c|HIGH|52.5|60.0|reject|settled||True|39.0|38.14|39.86|True|stop_hit|0.3333333333333333|False|11|0
SE|2026-05-12|era_c|HIGH|70.5|78.0|admit|abstain|day0_fill_bar_straddles_stop|True|94.71|93.04|96.37999999999998|False|||False|0|0
SIBN|2026-05-12|era_c|HIGH|52.5|60.0|reject|settled||True|13.13|11.249999999999998|15.010000000000003|True|stop_hit|0.7521276595744679|False|20|1
TE|2026-05-12|era_c|HIGH|63.0|70.5|abstain_float_band_straddles_bar|settled||True|6.51|5.609999999999999|7.41|False|stop_hit|-1.0|False|0|0
VG|2026-05-12|era_c|HIGH|78.0|87.0|admit|settled||True|12.68|12.07|13.29|True|stop_hit|1.0109289617486357|True|0|1
VPG|2026-05-12|era_c|HIGH|60.0|69.0|abstain_float_band_straddles_bar|settled||True|83.99|80.64999999999999|87.33|True|stop_hit|0.33333333333333337|False|48|0
VSTS|2026-05-12|era_c|HIGH|60.0|69.0|abstain_float_band_straddles_bar|settled||True|12.05|11.34|12.760000000000002|False|stop_hit|-1.0|False|0|0
ZBRA|2026-05-12|era_c|HIGH|78.0|87.0|admit|settled||True|256.0|238.0|274.0|False|stop_hit|-1.0|False|4|0
AIP|2026-05-13|era_c|HIGH|60.0|69.0|abstain_float_band_straddles_bar|no_entry|never_crossed_orb_high|False||29.32||False|||False|14|0
EOSE|2026-05-13|era_c|HIGH|78.0|87.0|admit|no_entry|never_crossed_orb_high|False||8.569999999999999||False|||False|0|0
ARX|2026-05-14|era_c|HIGH|60.0|69.0|abstain_float_band_straddles_bar|no_trade|window_out_of_orb|False||13.400000000000002||False|||False||0
CPA|2026-05-14|era_c|HIGH|60.0|69.0|abstain_float_band_straddles_bar|no_trade|window_out_of_orb|False||123.41999999999999||False|||False||0
CRMD|2026-05-14|era_c|HIGH|60.0|69.0|abstain_float_band_straddles_bar|settled||True|8.65|8.249999999999998|9.050000000000002|False|stop_hit|-1.0|False|23|0
CSCO|2026-05-14|era_c|HIGH|87.0|96.0|admit|settled||True|117.55|112.51|122.58999999999999|True|stop_hit|0.941798941798944|False|0|1
FPS|2026-05-14|era_c|HIGH|67.5|75.0|admit|no_entry|never_crossed_orb_high|False||43.780300000000004||False|||False|0|0
GO|2026-05-14|era_c|HIGH|52.5|60.0|reject|no_entry|never_crossed_orb_high|False||8.020000000000001||False|||False|0|0
KLAR|2026-05-14|era_c|HIGH|63.0|70.5|abstain_float_band_straddles_bar|settled||True|15.92|14.44|17.4|True|stop_hit|0.779279279279279|False|0|1
STAA|2026-05-14|era_c|HIGH|105.0|105.0|admit|no_entry|never_crossed_orb_high|False||31.630000000000003||False|||False|6|0
STUB|2026-05-14|era_c|HIGH|52.5|60.0|reject|settled||True|9.0|7.859999999999999|10.14|True|stop_hit|0.718713450292398|False|0|1
VIK|2026-05-14|era_c|HIGH|78.0|87.0|admit|no_trade|window_out_of_orb|False||88.58||False|||False||0
VSNT|2026-05-14|era_c|HIGH|72.6|81.6|admit|settled||True|43.25|41.400000000000006|45.099999999999994|True|stop_hit|0.33333333333333337|False|2|0
FIG|2026-05-15|era_c|MODERATE|81.6|90.6|admit|settled||True|22.6199|20.8401|24.399700000000003|True|stop_hit|0.15207701239839627|True|0|0
GEMI|2026-05-15|era_c|HIGH|52.5|60.0|reject|no_entry|never_crossed_orb_high|False||6.160099999999999||False|||False|0|0
GLOB|2026-05-15|era_c|HIGH|60.0|69.0|abstain_float_band_straddles_bar|no_trade|window_out_of_orb|False||34.89999999999999||False|||False||0
AGYS|2026-05-19|era_c|HIGH|60.0|69.0|abstain_float_band_straddles_bar|settled||True|94.5229|85.9371|103.10870000000001|False|stop_hit|-1.0|False|17|0
EVTC|2026-05-19|era_c|MODERATE|60.0|69.0|abstain_float_band_straddles_bar|abstain|entry_window_gaps:20_of_29|False||24.400000000000002||False|||False|141|0
STC|2026-05-19|era_c|MODERATE|60.0|69.0|abstain_float_band_straddles_bar|abstain|entry_window_gaps:22_of_29|False||68.37000000000002||False|||False|302|0
ALAB|2026-05-20|era_c|HIGH|87.0|96.0|admit|abstain|no_930_bar_for_orb|False||||False|||False||0
ARM|2026-05-20|era_c|HIGH|87.0|96.0|admit|no_trade|window_out_of_orb|False||220.35010000000003||False|||False||0
DYN|2026-05-20|era_c|HIGH|52.5|60.0|reject|abstain|no_930_bar_for_orb|False||||False|||False||0
GH|2026-05-20|era_c|HIGH|105.0|105.0|admit|abstain|no_930_bar_for_orb|False||||False|||False||0
IBRX|2026-05-20|era_c|HIGH|72.6|81.6|admit|no_trade|window_out_of_orb|False||8.08||False|||False||0
IMVT|2026-05-20|era_c|HIGH|60.0|69.0|abstain_float_band_straddles_bar|no_trade|window_out_of_orb|False||29.201400000000003||False|||False||0
SLS|2026-05-20|era_c|HIGH|60.0|69.0|abstain_float_band_straddles_bar|no_trade|window_out_of_orb|False||7.829399999999998||False|||False||0
TATT|2026-05-20|era_c|HIGH|33.0|42.0|reject|no_trade|window_out_of_orb|False||34.010000000000005||False|||False||0
INFQ|2026-05-21|era_c|HIGH|72.6|81.6|admit|settled||True|13.7|13.080000000000002|14.319999999999997|True|stop_hit|2.9784946236559264|True|0|1
QBTS|2026-05-21|era_c|MODERATE|81.6|90.6|admit|settled||True|22.2|21.02|23.38|True|stop_hit|2.9581920903954795|False|0|1
QUBT|2026-05-21|era_c|MODERATE|78.0|87.0|admit|settled||True|10.6|10.040000000000001|11.159999999999998|True|stop_hit|0.8500000000000025|False|0|1
RLAY|2026-05-21|era_c|HIGH|105.0|105.0|admit|settled||True|15.22|14.38|16.060000000000002|False|stop_hit|-1.0|False|0|0
PPTA|2026-05-22|era_c|HIGH|105.0|105.0|admit|no_entry|never_crossed_orb_high|False||25.8502||False|||False|2|0
ASPI|2026-05-26|era_c|MODERATE|52.5|60.0|reject|settled||True|6.68|6.08|7.279999999999999|True|stop_hit|0.6955555555555564|False|0|0
BTGO|2026-05-26|era_c|MODERATE|33.0|42.0|reject|no_entry|never_crossed_orb_high|False||6.39||False|||False|5|0
FUTU|2026-05-26|era_c|MODERATE|45.0|52.5|reject|no_trade|window_out_of_orb|False||90.98000000000002||False|||False||0
NNE|2026-05-26|era_c|MODERATE|45.6|54.6|reject|settled||True|29.2|27.360000000000003|31.039999999999996|True|stop_hit|0.3333333333333333|False|0|0
OKLO|2026-05-26|era_c|MODERATE|87.0|96.0|admit|settled||True|72.1|71.0|73.19999999999999|True|stop_hit|0.3333333333333333|False|0|0
